"spp"	"ID"	"palindrome"	"obs"	"markov3"	"genomesize"	"A"	"Th"	"C"	"G"	"N"	"pval"	"fdrs"	"frecObs"	"OE"	"GC"
Gloeothece_verrucosa_PCC_7822_PCC_7822	GCF_000147335.1	GCGGC	9753	6679.74062276017	7841948	2358436	2354903	1565567	1563042	0	2.29369372103038e-271	3.17080219995239e-267	1.24369608163686	1.46008663371871	0.398958141522999
Synechocystis_sp_IPPAS_B-1465_IPPAS_B-1465	GCF_003015225.1	CAATG	8124	5852.53245443089	3950993	1038590	1040715	934089	937599	0	2.14321288848982e-173	4.2325392814976e-170	2.05619194971998	1.38811703536123	0.473725972179652
Synechocystis_sp_PCC_6714_PCC_6714	GCF_000478825.2	CAATG	8398	5958.6984122284	3738889	985000	976155	888450	889284	0	4.97334059322719e-195	2.29171534535909e-191	2.24612177574675	1.40936819067159	0.47547118943622
Synechocystis_sp_PCC_6803_PCC_6803	GCF_000009725.1	CATTG	8060	5803.77937140429	3947019	1037565	1039901	933284	936269	0	1.71009940127202e-172	2.36404141231844e-169	2.04204742870506	1.38875024087103	0.473662021895512
Synechocystis_sp_PCC_6803_GT-S	GCF_000270265.1	CAATG	7491	5374.15372389303	3571103	931704	934898	850968	853533	0	7.05847141947813e-164	6.09851930642911e-161	2.09767122370875	1.39389388262112	0.477303791013589
Synechocystis_sp_PCC_6803_PCC_6803_substr_GT-G	GCF_001318385.1	CAATG	7488	5373.90001674642	3569196	931026	934436	850661	853073	0	1.73313932758676e-163	1.14090086021711e-160	2.09795147142382	1.39340143595257	0.477343917229539
Synechocystis_sp_PCC_6803_PCC_6803_substr_GT-T	GCF_022869765.1	CAATG	7489	5374.00412881935	3569929	931239	934576	850830	853284	0	1.29477541505091e-163	1.05288090221552e-160	2.09780082461024	1.39356052218838	0.477352350705014
Synechocystis_sp_PCC_6803_substr_GT-I	GCF_000284135.1	CAATG	7489	5374.27312498475	3570004	931251	934596	850852	853305	0	1.43978487487172e-163	1.10575478390148e-160	2.09775675321372	1.39349077090704	0.477354367109953
Synechocystis_sp_PCC_6803_substr_PCC-N	GCF_000284215.1	CAATG	7489	5374.6444548204	3570103	931268	934635	850888	853312	0	1.66696300093482e-163	1.14090086021711e-160	2.09769858180562	1.39339449575744	0.477353174404212
Synechocystis_sp_PCC_6803_substr_PCC-P	GCF_000284455.1	CAATG	7489	5374.64445482968	3570114	931273	934640	850889	853312	0	1.66696623610497e-163	1.14090086021711e-160	2.09769211851498	1.39339449575504	0.477351983718167
Synechocystis_sp_PCC_7338_PCC_7338	GCF_018282115.1	CATTG	7998	5699.71699670904	3832803	1003500	999660	916199	913444	0	1.95701811893663e-181	6.763454619045e-178	2.08672347626528	1.40322756456469	0.477364216214608
Synechocystis_sp_PCC_7339_PCC_7339	GCF_019924095.1	CAATG	7966	5690.8599689781	3876863	1014678	1016886	924218	921081	0	2.82553602283416e-178	6.51003499660989e-175	2.05475406275641	1.39978844031027	0.475977355918948
